ticker,avg_daily_return,avg_volatility
CIPLA.NS,-0.0007814298753699431,0.012723466216590575
HDFCBANK.NS,7.317967722123092e-06,0.00990780549842573
HINDUNILVR.NS,-0.0003046692945747798,0.010734955026091324
ICICIBANK.NS,0.00017670533382712096,0.009609796188639223
INFY.NS,-1.0633723654236733e-05,0.011252899694926873
ITC.NS,-0.0007273405487716002,0.010660184138929257
KOTAKBANK.NS,-0.00016460271745471082,0.010466395334343957
MARUTI.NS,5.74342569410798e-05,0.011604384091671277
ONGC.NS,-0.001146494575318599,0.01533755162414921
RELIANCE.NS,-0.00045179552749944637,0.011027112026763503
SUNPHARMA.NS,-0.0001582129937054545,0.011352494167444563
TATAMOTORS.NS,-0.0018180242578582845,0.015100559076145374
TATASTEEL.NS,-0.001351624196294854,0.0146106005923766
TCS.NS,-0.00023674579581272964,0.011087161526466245
WIPRO.NS,-0.0010168675194057637,0.013094174135791671
